0,1,2,3,4,5,6,7,8,9,10,11,12
"s) OD) 각막 중앙부에 3mm정도 옅은 corneal lipidosis. 
    OS) 이전 각막궤양 유합부에 혈관화 남음.  mild hyperemia
    OU) vitreal  prolapse OD-2시방향. OS-4시방향","O) STT 19/23
    Chem : TG 115 (10-100)","A) OS) 혈관화는 금방 사라지지 않을테니  충혈이 사라질때까지만 맥시트롤 점안 후 중단할것. 
OD) corneal lipidosis - 다른 내분비질환은 없고 식이성 또는 유전일 가능성 언급. 
 알러지 사료를 다른 회사것으로 교체시도.
OU) 유리체 탈출에 대해 설명드림. ","P) 한달 후 TG, Chol 재검. 
 
",,,,,,,,,
"S) OU) corneal mineral deposit, vascularization 좌안 더 심함. (사진 저장 안됨)
    No stain
STT 20/20
IOP 9/16","A) OU) Corneal degeneration due to Calcium deposit.
    현재 궤양은 없으므로 인공눈물 이외 다른 약 모두 중단. 
    스트레스 완화위해 넥칼라 제거. 
    인공눈물 2-3회 유지하다가 불편한 증상보이면 EDTA-라큐아 처방예정.",,,,,,,,,,,
"S) menace +/-,-, dazzle +,-, PLR +/-,-
OD) 안구후방 출혈소견있어서 유리체 혼탁과 출혈로 망막확인 불가. 
flare ++, 6시 방향에 vitreal prolapse.
OS) immature cataract, blindness
STT 25/25
IOP 26/12
Sono: OD) partial RD 의심
           OS) total RD","A) OD) retinal detachment, uveitis
    OS) 한달 전 RD. immature cataract
좌안은 한달 전 망막박리되어 시력상실.
우안은 현재 부분박리되어 보이니 약으로 호전시켜보기로 함. ","pds 1mg/kg, bid
cepha 30 mg/kg, bid
cime 10mg/kg, bid
UDCA 10mg/kg, bid
for 7days","멕시 6
트루솝 2",,,,,,,,,
"S) menace +,-, dazzle +,+, PLR +,+/-
OS) 상부 1/3부위의 각막 혈관화, generalized corneal edema, punctate keratopathy
     moderate hyperemia, mature(?) cataract
OD) immature cataract,  각막 중앙부 mild endothelial dystrophy
STT 15/25
IOP 10/11
혈액검사: azotemia
 
Tx) debridement & GK","A) 시간이 지난 상태이므로 SCCEDs인지 punctate keratopathy인지 감별 어려움.
   azotemia로 인해 내복약은 처방불가.
   
좌안)
크라 6
혈청 6
미드 4
라큐아 6
옵티뮨, 2",p) 화 재진,,,,,,,,,,
"S) menace +,-, dazzle +,-, PLR +,- maze 정상 
OD) No flare. 
유리체 내 blood clot 여러개 확인되고 염증상태라 안저는 정확히 확인 안됨. ","A) 시력회복. 
아직 유리체 내 혈전, 염증소견 있으나 증상개선. 
초음파 상 지난번과 비슷. ","pds 0.5mg/kg, bid
amox 20mg/kg, bid
famo 0.5mg/kg, bid
UDCA 10mg/kg, bid
for 7days","OD)maxitrol, 6
      triarmcinolone, SC(결막하주사)",,,,,,,,,
"S) head tilt(Lt.), 피부비박화, 등주변탈모.
menace +,+, dazzle +,+, PLR +,+(좌안 약함)
OD) corneal lipidosis, capsular cataract(incipient), periocular erythema
OU) 5-6시방향의 vitreal prolapse
STT 22/22
IOP 21/20
fundus: 우안 정상. 좌안의 혈관위축","A) OS) 안검발적. incipient cataract, corneal lipidosis. PRA 의심. 
tx) maxitrol, tid
    쿠싱의심. ","혈액검사: ALP 1188, TG 132 ","p) 1주 후 재진
",,,,,,,,,
S) 지난주와 비슷. ,"p) 인공눈물 bid는 현재 상태 유지위해 넣는 것이므로, 당장 점안이 위급하게 필요한 상태는 아닙니다.(각막변성은 현재 상태 유지만으로도 good) 단, 똘이 컨디션에 따라 보호자가 조절해서 넣기로 하고, 상태가 나빠지게 되면 그 때 필요한 점안약을 넣기로 하겠습니다.",2주 후 재진.  ,,,,,,,,,,
S) ,"pds 0.5mg/kg, bid
amox 20mg/kg, bid
famo 0.5mg/kg, bid
UDCA 10mg/kg, bid
for 7days",,,,,,,,,,,
"S) 안반사 모두 없음. full mydriasis. blindness
안반사 외 지난번과 같이 모두 정상. 
양안 핵경화.
normal fundus","A) 
Rx)
pds 0.5mg/kg
cepha 30mg/kg
famo 0.5mg/kg
UDCA 10mg/kg
bid for 7days","pds 0.5mg/kg, sid
cepha 30mg/kg
famo 0.5mg/kg
UDCA 10mg/kg
bid for 7days",,,,,,,,,,
"S) 안검사는 지난주와 비슷함. 
망막조영: 망막박리 확인되지 않음.",A) 스테로이드 감량하고 1주 휴약 후 2주 후 재진하기로함. ,"pds 0.5mg/kg, sid
famo 0.5mg/kg, sid
UDCA 10mg/kg, sid
for 7days",,,,,,,,,,
