id,species,category,disease_number,keywords,user_question,qa_list,created_at,version,service
18,dog,내과,16,구토,강아지가 토를 해요/ 구토를 해요 ,"{언제부터 관찰되었나요? ,1. 24시간 이내 처음 관찰됨 (1점)
2. 2-3일 정도 경과함 (3점)
3. 1주일 정도 경과함 (5점)
4. 1주일 이상 경과함 (10점),구토 내용물이 어떤가요?,1. 노란 액체 (3점)
2. 음식물 (5점)
3. 피가 섞여 있음 (10점) 
4. 투명한 침 같은 액체 (3점)
5. 녹색 빛 (10점),활력은 어떤가요? 이전과 비슷한가요? 활력이 많이 감소했나요? ,1. 증상이 있기 전과 비슷하게 잘 놀아요. (0점)
2. 증상이 있기 전보다 움직임이 확연히 줄어들었어요. (10점) 
3. 꼭 필요할 때 (먹을 때, 화장실 갈 때)를 제외하고는 움직이지 않아요. (15점),증상이 얼마나 자주 나타나나요? ,1. 하루 3-4회 이상 (15점)
2. 하루 1-2회 (10점)
3. 2-3일에 한번 (5점)
4. 그 이상의 간격 (3점),식욕이 어떤가요? 이전과 비슷한가요? 맛있는 것만 먹나요? 아무것도 먹지 않나요? ,1. 증상이 나타나기 전과 비슷해요 (0점)
2. 맛있는 것만 먹어요 (5점)
3. 아무 것도 안먹어요 (10점) ,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
25,dog,내과,23,기침,강아지가 기침을 해요. 강아지가 켁켁거려요. ,"{언제부터 관찰되었나요?,1. 1~2일 이내 (5점)
2. 3~7일 이내 (4점)
3. 1주 이상 (3점) ,생활에 지장을 줄 만큼(식사 또는 수면에 방해가 될 만큼) 심하게 기침 하나요? ,1. 네 (25점)
2. 아니요 (0점),활력은 어떤가요? 이전과 비슷한가요? 활력이 많이 감소했나요? ,1. 증상이 있기 전과 비슷하게 잘 놀아요. (0점)
2. 증상이 있기 전보다 움직임이 확연히 줄어들었어요. (15점) 
3. 꼭 필요할 때 (먹을 때, 화장실 갈 때)를 제외하고는 움직이지 않아요. (25점),한두번 켁켁거리는 정도인가요, 또는 한번 기침을 하면 30초 이상 지속되나요? ,1. 한두번 켁켁거려요 (3점)
2. 한번하면 30초 이상 지속되어요 (15점),기침 증상이 얼마나 자주 나타나나요?,1. 수시로 (하루 10회 이상) (20점)
2. 하루 세네번 정도 (15점)
3. 2-3일에 한번(10점)
4. 1주일에 한번 (5점)
5. 아주 가끔 (1점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
33,dog,내과,31,식욕 증가,강아지가 식탐이 많아요. 강아지가 너무 많이 먹어요. 식욕이 증가했어요. ,"{언제부터 관찰되었나요?,1. 3일 이내 (3점)
2. 1~2주 안팎 (4점)
3. 2주일 이상 (5점),현재 스테로이드 또는 항경련제를 복용 중 인가요?,1. 네 (0점)
2. 아니요 (5점) 
3. 잘 모르겠어요 (5점),체중이 감소하고 있나요? ,1. 네 (5점)
2. 아니요 (0점),원래부터 보였던 증상인가요, 아니면 최근에 새로 나타난 증상인가요? ,1. 원래부터 있던 증상 (0점)
2. 새로 나타난 증상 (5점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
41,dog,안과&신경과,39,머리 기울임,강아지 머리가 기울어졌어요. 강아지가 계속 갸우뚱하고 있어요. 머리가 계속 돌아가있어요. 머리가 돌아갔어요. 고개를 기울이고 있어요. ,"{언제부터 관찰되었나요?,1. 3일 이내 (5점)
2. 1~2주 안팎 (4점)
3. 2주일 이상 (3점),귀가 안좋거나 귀치료를 오래 받았나요?,1. 네 (5점)
2. 아니요 (3점),구토, 침울, 발열 증상을 보이나요?,1. 네 (7점)
2. 아니요 (3점),최근들어 기침증상을 자주 보이거나 호흡을 힘들어 하나요?,1. 네 (10점)
2. 아니요 (3점),선회증상(제자리를 빙글빙글 도는 써클링 증상), 국소적인 근경련, 발작, 동공부동 (양쪽 동공 크기가 다름) 등 신경증상을 보이나요 ?,1. 네 (15점)
2. 아니요 (3점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
51,dog,내과,49,복부 팽만,강아지 배가 빵빵해요. 강아지가 갑자기 살이 쪘어요. 복수가 찬 것 같아요. 복부 팽만이 되었어요. ,"{언제부터 관찰되었나요?,1. 4주 미만 (2점)
2. 4주 이상 (5점),최근에 사료양을 늘렸거나 운동량이 감소했나요? ,1. 네 (0점)
2. 아니요 (3점),가만히 있거나 자고 있을 때 1분당 호흡 수가 40회 이상인가요? 또는 현재 호흡을 힘들어하나요? ,1. 네 (25점)
2. 아니요 (0점),활력은 어떤가요? 이전과 비슷한가요? 활력이 많이 감소했나요? ,1. 증상이 있기 전과 비슷하게 잘 놀아요. (0점)
2. 증상이 있기 전보다 움직임이 확연히 줄어들었어요. (10점) 
3. 꼭 필요할 때 (먹을 때, 화장실 갈 때)를 제외하고는 움직이지 않아요. (15점),배가 많이 빵빵해서 숨을 쉬거나, 걷거나, 먹을 때 힘들어하나요? ,1. 네 (15점)
2. 아니요 (0점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
56,dog,안과&신경과,54,산동,강아지 동공이 커져서 안작아져요. 강아지 눈동자가 커져서 안작아져요,"{언제부터 관찰되었나요?,1. 특정 사건후 (7점)
2. 7일 미만 (5점)
3. 1주 이상 (3점),눈색의 변화, 눈주변통증, 동공색의 변화, 안구의 돌출이 관찰되나요,1. 네 (10점)
2. 아니요 (3점)
3. 잘모르겠음(5점),구토, 역류(음식물을 먹자마자 바로 토함), 침울 증상을 보이거나 이물 섭취 의심이 되나요?,1. 네 (10점)
2. 아니요 (3점)
3. 잘모르겠음(5점),호흡이 힘들어 보이거나 가쁜가요?,1. 네 (10점)
2. 아니요 (3점),선회증상(제자리를 빙글빙글 도는 써클링 증상), 국소적인 근경련, 발작 등 신경증상을 보이나요 ?,1. 네 (15점)
2. 아니요 (3점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
63,dog,내과,61,설사,강아지가 설사를 해요. 강아지 변이 묽어요. 강아지가 물똥을 싸요. 강아지가 무른변을 봐요. 강아지 변이 물러요.,"{언제부터 관찰되었나요?,1. 최근 3일이내 (1점)
2. 3~7일 이내 (3점)
3. 1주 이상 (5점),하루에 변보는 횟수가 증가했나요?,1. 경미한 증가(2-4회) (1점)
2. 심한 증가(4-10회) (3점),주기적인 구충제를 급여하고 있나요?,1. 네 (1점)
2. 아니요 (5점),구토, 체중감소가 동반되나요?,1. 네 (5점)
2. 아니요 (1점),변의 양이 늘어나 있나요?,1. 네 (5점)
2. 아니요 (1점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
65,dog,피부과,63,가려움,강아지가 피부를 가려워해요 / 강아지가 피부를 핥고 긁어요/강아지가 피부를 씹어요,"{언제부터 가려워 하나요?,1. 최근 2주이내 (5점)
2. 수주간 지속, 1년 이내 (3점)
3. 특정 나이부터 (1점)
4. 특정 계절마다 (3점)
5. 특정 이벤트 후 (1점),얼마나 심하게 가려워 하나요?,1. 피가날정도로 많이 가려워해요 (5점)
2. 조금씩 꾸준히 가려워해요 (3점)
3. 어쩌다 한번씩 긁어요 (1점),주기적인 외부기생충 예방을 진행하나요?,1. 네 (1점)
2. 아니요 (5점),궤양성, 발적 병변이 존재하나요?,1. 네 (5점)
2. 아니요 (1점),원형으로 부분적인 탈모나 딱지 혹은 각질이 존재하나요?,1. 네 (3점)
2. 아니요 (1점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,개와 고양이에서의 간뇌병증(HEPATIC ENCEPHALOPATHY IN DOGS AND CATS),Avermectin, ivermectin 독성  (Avermectin, ivermectin, toxicity in dogs and cats)}",2023-01-04 14:43:11.050948,1,chat
67,dog,내과,65,식욕부진,강아지가 식욕이 없어요. 강아지가 밥을 잘 안 먹어요. 강아지가 맛있는 것만 먹어요.,"{언제부터 식욕이 저하되었나요?,1. 오늘 발견 (1점)
2. 2~5일 지속중 (5점)
3. 1주 이상 (7점),원래 밥을 잘 먹지 않는 아이거나 최근에 새로운 사료로 변경한 적이 있나요? ,1. 네 (0점)
2. 아니요 (3점),간식 등 맛있는 것은 먹나요? ,1. 네 (3점)
2. 아니요 (5점),구토 또는 설사 증상이 있나요? ,1. 네 (5점)
2. 아니요 (0점),활력은 어떤가요? 이전과 비슷한가요? 활력이 많이 감소했나요? ,1. 증상이 있기 전과 비슷하게 잘 놀아요. (0점)
2. 증상이 있기 전보다 움직임이 확연히 줄어들었어요. (5점) 
3. 꼭 필요할 때 (먹을 때, 화장실 갈 때)를 제외하고는 움직이지 않아요. (10점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
70,dog,외과,68,몸에서 냄새,강아지에서 이상한 냄새가 나요 / 강아지에서 이유모를 악취가 나요,"{언제부터 냄새가 났나요?,1. 최근 2주이내 (4점)
2. 수주간 지속, 1년 이내 (3점)
3. 특정 나이부터 (1점)
4. 특정 계절마다 (3점)
5. 특정 이벤트 후 (1점),냄새가 어느 부위에서 나나요?,1. 귀/피부 (3점)
2. 구강 (2점)
3. 모르겠음 (5점),육안상 눈에 띄는 상처나 고름부위가 존재하나요?,1. 네 (5점)
2. 아니요 (3점),기운이 없거나 식욕이 저하되어 있나요?,1. 네 (5점)
2. 아니요 (1점),침을 많이 흘리거나 구강에 치석이 다량 존재하나요?,1. 네 (3점)
2. 아니요 (5점),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing}",2023-01-04 14:43:11.050948,1,chat
