displayName,__typename,RxCodeGroup.groupName,RxCodePrice.supplyPrice,RxCodePrice.taxItemType
"AMC, 아모크라",RxCode,항생제/항곰팡이제,1000,2
"Doxycycline, 독시사이클린",RxCode,항생제/항곰팡이제,800,2
"간보호제_Lefotil, 레포틸",RxCode,간담도계 약물,800,2
"간보호제_UDCA, 우소산",RxCode,간담도계 약물,400,2
"간보호제_Silymarin, 실리마린, 레가론",RxCode,간담도계 약물,700,2
"Misoprostol, 미소프로스톨",RxCode,위장관약물,500,2
"Amantadine, 아만타딘",RxCode,신경계 약물,500,2
"Itraconazole, 이트라코나졸",RxCode,항생제/항곰팡이제,700,2
"Zonisamide, 조니사마이드 엑세그란",RxCode,신경계 약물,1000,2
"Tamsulosin, 탐스로신",RxCode,비뇨기계 약물,550,2
"Trazodone, 트라조돈",RxCode,신경계 약물,700,2
"Famciclovir, 팜시클로버",RxCode,항생제/항곰팡이제,5000,2
"Pentoxifylline, 펜톡시필린",RxCode,심혈관계 약물,1000,2
"Pregabalin, 프레가발린 리리카(Lyrica)",RxCode,신경계 약물,3150,2
"Firocoxib, 프레비콕스 Previcox",RxCode,소염/진통제,1000,2
Camostat mesilate 호이판,RxCode,위장관약물,1200,2
Ferrous sulfate 훼로바유,RxCode,기타 약물,300,2
Esomeprazole 오메프라졸,RxCode,위장관약물,1200,2
Marbofloxacin 마보실,RxCode,항생제/항곰팡이제,900,2
Slippery Elm bark 느릅나무 추출물,RxCode,호흡기계 약물,300,2
Bease 베아제,RxCode,위장관약물,300,2
Psyllium,RxCode,위장관약물,300,2
Clindamycin 훌그램,RxCode,항생제/항곰팡이제,300,2
Cefixime 세픽심,RxCode,항생제/항곰팡이제,1000,2
Tylosine 티어가드,RxCode,항생제/항곰팡이제,2200,2
Levetiracetam 케프라 keppra XR,RxCode,신경계 약물,4410,2
Paroxetine 팍실,RxCode,신경계 약물,3300,2
Selegiline 마오비,RxCode,신경계 약물,3000,2
Clonidine 클로니딘 캡베이,RxCode,신경계 약물,3300,2
Venlafaxine 벤라팍 코펙사,RxCode,신경계 약물,3500,2
Fluoxetine 플루오세틴 프로작,RxCode,신경계 약물,3300,2
Mirtazapine 레메론 멀타자핀,RxCode,위장관약물,3500,2
Mirtazapine 레메론 멀타자핀_cat,RxCode,위장관약물,3500,2
Amlodipine 노바스크 암로디핀,RxCode,심혈관계 약물,1000,2
"Imepitoin, 펙시온",RxCode,신경계 약물,1800,2
"Clarithromycin 클라리쓰로마이신, 클래신 정, 호흡기 항생제",RxCode,항생제/항곰팡이제,550,2
"Spironolactone, 알닥톤, 스피로노락톤",RxCode,심혈관계 약물,500,2
"Basod 바쏘드 IBD, pancreatitis(췌장염) 1통(100T)",RxCode,위장관약물,220000,2
"Basod 바쏘드 IBD, pancreatitis(췌장염) 항산화, 유산균",RxCode,위장관약물,2200,2
