displayName,__typename,TxCodeGroup.groupName,TxCodePrice.supplyPrice,TxCodePrice.taxItemType
약물검사(외래검사)- 납(Lead),TxCode,CD. 의뢰검사,60000,2
약물검사(외래검사)-Cu(구리),TxCode,CD. 의뢰검사,60000,2
약물검사(외래검사)-Phenobarbital,TxCode,CD. 의뢰검사,60000,2
네)외래검사- 사이클로스포린(Cyclosporine)농도 측정,TxCode,CD. 의뢰검사,60000,2
IDEXX 외래검사 - 약물농도 측정(Digoxin),TxCode,CD. 의뢰검사,50000,2
호르몬검사(외래) - CIALP,TxCode,CD. 의뢰검사,100000,2
호르몬검사(외래)-Aldosterone,TxCode,CD. 의뢰검사,60000,2
"호르몬검사(외래 ) - 갑상선 (T4, c TSH)",TxCode,CD. 의뢰검사,140000,2
호르몬검사(외래) - Progesteron,TxCode,CD. 의뢰검사,50000,2
호르몬검사(외래) - Estradiol(E2),TxCode,CD. 의뢰검사,50000,2
호르몬검사(외래) - Testosterone,TxCode,CD. 의뢰검사,50000,2
호르몬검사(외래) - Estrogen(Total),TxCode,CD. 의뢰검사,90000,2
외래검사 - Bile acid,TxCode,CD. 의뢰검사,100000,2
[의뢰]특수검사(혈청)-fructosamine,TxCode,CD. 의뢰검사,68182,2
호르몬검사(외래)-PTH intact,TxCode,CD. 의뢰검사,75000,2
"[의뢰]일반검사(전혈)-응고계(PT,aPTT)",TxCode,CD. 의뢰검사,95000,2
일반검사(검체)-Bacterial Culture(세균배양),TxCode,CD. 의뢰검사,52728,2
일반검사(검체)-Antibiotic Sensitivity,TxCode,CD. 의뢰검사,52728,2
일반검사(검체)-Stone Analysis,TxCode,CD. 의뢰검사,80000,2
일반검사(검체)-Body Fluid Cytology,TxCode,CD. 의뢰검사,80000,2
[외래]호르몬검사-Cortisol LDDST(3회_0h/4h/8h),TxCode,CD. 의뢰검사,270000,2
호르몬검사(외래)-Cortisol HDDST,TxCode,CD. 의뢰검사,200000,2
IDEXX  외래검사 - 조직검사( 1 sample),TxCode,CD. 의뢰검사,180000,2
일반검사(조직)-Cytology(세포학검사),TxCode,CD. 의뢰검사,100000,2
유전자검사(PCR) - 고양이 다낭포성신장병,TxCode,CD. 의뢰검사,95455,2
[혈액]고양이 proBNP kit (IDEXX)  - 심장 질환 진단,TxCode,CD. 의뢰검사,65000,2
[의뢰]특수검사(WB)-당화혈색소(HbA1c),TxCode,CD. 의뢰검사,68182,2
호르몬검사(외래)- Erythropoietin 농도,TxCode,CD. 의뢰검사,75000,2
호르몬검사(외래)-Insulin 농도,TxCode,CD. 의뢰검사,50000,2
"외래 - Canine TLI, 엽산, 코발라민농도 측정",TxCode,CD. 의뢰검사,200000,2
CT검사(컴퓨터 단층촬영),TxCode,CD. 의뢰검사,500000,2
특수 약물처치,TxCode,AE. 수액/수혈,10000,2
붕대(수술 후처치),TxCode,AF. 기본처치,5000,2
붕대 - PolyCast  10kg이하,TxCode,AF. 기본처치,80000,2
온찜찔(hot pack),TxCode,AF. 기본처치,5000,2
면역-시어즈플라즈마  1 vail,TxCode,AE. 수액/수혈,50000,2
고항혈장(특수A) 1vial,TxCode,AE. 수액/수혈,40000,2
고항혈장(parvo),TxCode,AE. 수액/수혈,30000,2
휴먼 알부민 제제(특수),TxCode,AE. 수액/수혈,200000,2
수혈- 전혈(혈액은행),TxCode,AE. 수액/수혈,300000,2
[피하수액]수액- 피하 수액(일반),TxCode,AE. 수액/수혈,22890,2
수액- PPN(비경구적 영양수액) 1일,TxCode,AE. 수액/수혈,30000,2
[주사]응급약물_뇌압상승 응급처치(Mannitol),TxCode,AE. 수액/수혈,29870,2
수액- 아미노산 제제,TxCode,AE. 수액/수혈,20000,2
수액  - 일반,TxCode,AE. 수액/수혈,27500,2
[검사] 분변검사_부유법,TxCode,,11000,2
고양이-백혈병(FeLV) 1차,TxCode,BB. 예방접종(고양이),38500,2
고양이-백혈병(FeLV) 2차,TxCode,BB. 예방접종(고양이),38500,2
고양이-백혈병(FeLV) booster,TxCode,BB. 예방접종(고양이),38500,2
유전자검사(PCR) - 개 호흡기진단 set,TxCode,CD. 의뢰검사,100000,2
암모니아 내성검사(간기능),TxCode,CD. 의뢰검사,54546,2
[한방]병행 침치료,TxCode,FH. 수의한방,20000,2
[검사] 분변검사_부유법,TxCode,,11000,2
면역-파우글로플린,TxCode,AE. 수액/수혈,50000,2
[재활]레이져치료(PBMT) MLS laser therapy,TxCode,AF. 기본처치,25000,2
유전자검사_(비대성심근증 / 반려묘)_EDTA 1ml,TxCode,CD. 의뢰검사,81819,2
프론트라인 트리액트 (2~5kg) 1pack,TxCode,"BF. 내,외부구충",48000,2
고항혈장(특수A) 2vial,TxCode,AE. 수액/수혈,70000,2
고항혈장(특수A) 3vial,TxCode,AE. 수액/수혈,100000,2
고항혈장(특수A) 4vial,TxCode,AE. 수액/수혈,130000,2
고항혈장(특수A)- 5vial 이상 추가 1 vial 당,TxCode,AE. 수액/수혈,30000,2
산소 공급(24hr),TxCode,AF. 기본처치,43637,2
수혈 - 수혈 거부반응 검사(Cross matching),TxCode,AE. 수액/수혈,30000,2
치아골절 교정(생체용본드),TxCode,AF. 기본처치,25000,2
"외래 검사 :  f TLI, 엽산, cobalamin(고양이) 검사",TxCode,CD. 의뢰검사,400000,2
산욕마비 처치,TxCode,AF. 기본처치,110000,2
응급 - 수액 및 약물처치,TxCode,AF. 기본처치,30000,2
응급 - 인공 호흡 장치(Ventilator),TxCode,AF. 기본처치,30000,2
유전자검사(PCR) - 고양이 set 2,TxCode,CD. 의뢰검사,118182,2
유전자검사(PCR) - Canine Tick/vector Panel,TxCode,CD. 의뢰검사,136364,2
유전자검사(PCR) - 구리중독,TxCode,CD. 의뢰검사,131819,2
약욕 및 소독 : 발가락,TxCode,AF. 기본처치,7000,2
KVL free T4 검사 의뢰,TxCode,CD. 의뢰검사,80000,2
외래 - 복수 검사(Abdominal Fluid  Analysis.),TxCode,CD. 의뢰검사,60000,2
"외래 - 흉수 검사(농흉, 유미흉, etc)",TxCode,CD. 의뢰검사,70000,2
외래검사-FDPs(혈전검사),TxCode,CD. 의뢰검사,31364,2
개 - Ringworm 백신 1차,TxCode,BA. 예방접종(개),45000,2
개 - Ringworm 백신 2 차,TxCode,BA. 예방접종(개),45000,2
개 - Ringworm 백신 Booster,TxCode,BA. 예방접종(개),45000,2
복막투석(Peritoneal dialysis),TxCode,AF. 기본처치,200000,2
저주파물리치료,TxCode,AF. 기본처치,20000,2
배농 처치,TxCode,AF. 기본처치,10000,2
영양카테터(비공),TxCode,AF. 기본처치,30000,2
영양카테터(식도),TxCode,AF. 기본처치,50000,2
피부소독,TxCode,AF. 기본처치,10000,2
milbemycin,TxCode,"BF. 내,외부구충",10000,2
아이덱스(외래) - PTH + iCa (canine)  농도 측정,TxCode,CD. 의뢰검사,150000,2
외래검사-G-I panel(canine),TxCode,CD. 의뢰검사,200000,2
외래검사 - canine diarrhea 7종,TxCode,CD. 의뢰검사,80000,2
관장 (PEG 3350- 비식도관 CRI),TxCode,AF. 기본처치,100000,2
관장 -락툴로스 10kg 이하,TxCode,AF. 기본처치,30000,2
ANA(antinuclear antibody),TxCode,CD. 의뢰검사,100000,2
CRF(canine rheumatoid factor),TxCode,CD. 의뢰검사,109091,2
[의뢰]알러지검사 Premium test 120종,TxCode,CD. 의뢰검사,318182,2
원내 출산(마리당),TxCode,AF. 기본처치,52655,2
ANTECH_스코티시폴드_골이형성증_검사의뢰,TxCode,CD. 의뢰검사,60000,2
붕대외처치,TxCode,AF. 기본처치,8000,2
퓨리나_리브클리어 키튼,TxCode,KA. 치료보조제,44000,2
애드보킷(Advocate)-CAT 4~8kg.pack (6개입),TxCode,BE. 사상충 외,92728,2
[한방]전침사용(EA),TxCode,AF. 기본처치,10000,2
[한방]약침치료(Aquapuncture),TxCode,FH. 수의한방,12000,2
[한방]항산화주사,TxCode,FH. 수의한방,26500,2
퓨리나_고양이 EN,TxCode,JB. 퓨리나,32273,2
퓨리나_고양이 NF,TxCode,JB. 퓨리나,32273,2
퓨리나_고양이 UR,TxCode,JB. 퓨리나,30455,2
퓨리나_고양이 OM,TxCode,JB. 퓨리나,30455,2
퓨리나_고양이 DM,TxCode,JB. 퓨리나,30455,2
펠리웨이 클래식 스타터키트 (feliway classic),TxCode,KA. 치료보조제,38000,2
[의뢰] 고양이 항체가검사 7종 ,TxCode,CD. 의뢰검사,95455,2
펠리웨이 클래식 리필 (feliway classic REFILL),TxCode,KA. 치료보조제,30000,2
부신피질호르몬검사(Cortisol)_혈액,TxCode,LAB,50000,2
갑상선호르몬검사(T4)_혈액,TxCode,LAB,50000,2
갑상선자극호르몬검사(TSH)_혈액,TxCode,LAB,50000,2
단백뇨검사(UPC)_소변,TxCode,LAB,50000,2
췌장염검사(fPL)_혈액,TxCode,LAB,50000,2
페노바비탈검사(Phenobarbital)_혈액,TxCode,LAB,60000,2
간기능검사(Bile Acid)_혈액,TxCode,LAB,50000,2
급성염증반응검사(fSAA)_혈액,TxCode,LAB,50000,2
케톤체검사(Ketone)_혈액,TxCode,LAB,8819,2
혈당검사_간이_혈액,TxCode,LAB,8819,2
혈당곡선(1일6회)_1일(입원비제외)_혈액,TxCode,LAB,50000,2
혈당곡선(1일12회)_1일(입원비제외)_혈액,TxCode,LAB,100000,2
"응고계검사(PT,APTT)_혈액",TxCode,LAB,50000,2
신장조기검사(SDMA)_혈액,TxCode,LAB,50000,2
평균혈당검사(Fructosamine)_혈액,TxCode,LAB,50000,2
적혈구농도검사(PCV/TP)_튜브_혈액,TxCode,LAB,10000,2
바베시아 PCR_원내간이_혈액,TxCode,LAB,77000,2
심근병검사(Pro BNP)_혈액,TxCode,LAB,60000,2
초음파(조영검사)_심장 단락 혈류방향검사(bubble study)_10kg,TxCode,영상_10kg,48182,2
C-arm_기본촬영,TxCode,영상_10kg,90910,2
C-arm_조영검사(비뇨기),TxCode,영상_10kg,145455,2
C-arm_조영검사(간문맥혈관),TxCode,영상_10kg,145455,2
CT_기본촬영_10kg,TxCode,영상_10kg,372728,2
CT_부위추가_10kg,TxCode,영상_10kg,145455,2
CT_조영제 추가_10kg,TxCode,영상_10kg,100000,2
MRI_기본 및 조영 촬영_10kg,TxCode,영상_10kg,563637,2
MRI_부위 추가_10kg,TxCode,영상_10kg,245455,2
CT+MRI_기본촬영 (CT조영미포함)_10kg,TxCode,영상_10kg,818182,2
뇌척수액 천자 및 세포 검사,TxCode,영상_10kg,109091,2
뇌척수액 PCR 검사(추가),TxCode,영상_10kg,118182,2
PARR,TxCode,영상_10kg,118182,2
"MRI,CT 판독료_타병원 촬영시",TxCode,영상_10kg,50000,2
초음파_임신진단_20kg,TxCode,영상_20kg,68182,2
CT_기본촬영_20kg,TxCode,영상_20kg,427273,2
CT_부위추가_20kg,TxCode,영상_20kg,190910,2
MRI_기본 및 조영 촬영_20kg,TxCode,영상_20kg,627273,2
MRI_부위 추가_20kg,TxCode,영상_20kg,290910,2
CT+MRI_기본촬영 (CT조영미포함)_20kg,TxCode,영상_20kg,927273,2
CT_조영제 추가_20kg,TxCode,영상_20kg,118182,2
CT_기본촬영_30kg,TxCode,영상_30kg,481819,2
CT_부위추가_30kg,TxCode,영상_30kg,236364,2
MRI_기본 및 조영 촬영_30kg,TxCode,영상_30kg,690910,2
MRI_부위 추가_30kg,TxCode,영상_30kg,336364,2
CT+MRI_기본촬영 (CT조영미포함)_30kg,TxCode,영상_30kg,1036364,2
CT_조영제 추가_30kg,TxCode,영상_30kg,136364,2
CT_기본촬영_40kg,TxCode,영상_40kg,536364,2
CT_부위추가_40kg,TxCode,영상_40kg,281819,2
MRI_기본 및 조영 촬영_40kg,TxCode,영상_40kg,754546,2
MRI_부위 추가_40kg,TxCode,영상_40kg,381819,2
CT+MRI_기본촬영 (CT조영미포함)_40kg,TxCode,영상_40kg,1145455,2
CT_조영제 추가_40kg,TxCode,영상_40kg,154546,2
CT_기본촬영_50kg,TxCode,영상_50kg,590910,2
CT_부위추가_50kg,TxCode,영상_50kg,327273,2
MRI_기본 및 조영 촬영_50kg,TxCode,영상_50kg,818182,2
MRI_부위 추가_50kg,TxCode,영상_50kg,427273,2
CT+MRI_기본촬영 (CT조영미포함)_50kg,TxCode,영상_50kg,1254546,2
CT_조영제 추가_50kg,TxCode,영상_50kg,172728,2
세포검사FNA(1부위)_IDEXX,TxCode,외부의뢰,118182,2
엽산(Folic acid)_KVL_혈청1ml,TxCode,외부의뢰,50000,2
엽산(Folic acid)_KVL_혈청2ml,TxCode,외부의뢰,85455,2
코발라민(VitB12)_KVL_혈청1ml,TxCode,외부의뢰,50000,2
트로포닌 I(Troponin I)_KVL_혈청1ml,TxCode,외부의뢰,60000,2
결석성분분석_KVL,TxCode,외부의뢰,80000,2
방광암항원검사(Bladder Tumor Antigen)_Antech_소변2ml,TxCode,외부의뢰,218182,2
"방광암,전립선암검사(TCC,UC)_Antect_소변40ml",TxCode,외부의뢰,600000,2
뇨코티솔크레아티닌비율(UCCR)_KVL_소변5ml,TxCode,외부의뢰,60000,2
"갑상샘호르몬(T4,total)_KVL_혈청1ml",TxCode,외부의뢰,50000,2
갑상샘호르몬(T3)_KVL_혈청1ml,TxCode,외부의뢰,50000,2
활성갑상샘호르몬(FreeT4)_KVL_혈청1ml,TxCode,외부의뢰,50000,2
갑상샘자극호르몬(TSH)_KVL_혈청1ml,TxCode,외부의뢰,50000,2
"갑상샘패널1(FreeT4,TSH)_KVL_혈청1ml",TxCode,외부의뢰,81819,2
"갑상샘패널2(FreeT4,T4,TSH)_KVL_혈청1ml",TxCode,외부의뢰,118182,2
"갑상샘패널3(FreeT4,T4)_KVL_혈청1ml",TxCode,외부의뢰,81819,2
"갑상샘패널(T4,TSH)_KVL_혈청",TxCode,외부의뢰,81819,2
성호르몬검사(Estradiol)_E2_KVL_혈청1ml,TxCode,외부의뢰,90910,2
성호르몬검사(Progesterone)_KVL_혈청1ml,TxCode,외부의뢰,40000,2
성호르몬검사(Testerone)_KVL_혈청1ml,TxCode,외부의뢰,40000,2
약물검사(Cyclosporine)_KVL_EDTA전혈2ml,TxCode,외부의뢰,118182,2
약물검사(Zonisamide)_KVL_혈청1ml,TxCode,외부의뢰,100000,2
약물검사(Digoxin)_KVL_혈청1ml,TxCode,외부의뢰,40000,2
알러지검사(Allergen60종)_KVL_혈청0.5ml_개,TxCode,외부의뢰,172728,2
알러지검사(Allergen59종)_KVL_혈청0.5ml_고양이,TxCode,외부의뢰,172728,2
"미생물검사(호기,항생제감수성)_KVL",TxCode,외부의뢰,63637,2
"미생물검사(호기,혐기,항생제감수성)_KVL",TxCode,외부의뢰,81819,2
조직검사(1부위)_KVL,TxCode,외부의뢰,172728,2
조직검사(2부위)_KVL,TxCode,외부의뢰,245455,2
조직검사(3부위)_KVL,TxCode,외부의뢰,300000,2
조직검사(4부위)_KVL,TxCode,외부의뢰,345455,2
조직검사(특수염색1종)_KVL,TxCode,외부의뢰,309091,2
조직검사(특수염색2종)_KVL,TxCode,외부의뢰,409091,2
조직검사(특수염색3종)_KVL,TxCode,외부의뢰,500000,2
림프종PCR추가검사_Antect,TxCode,외부의뢰,909091,2
비만세포종검사_Antech,TxCode,외부의뢰,600000,2
생검슬라이드요청_KVL,TxCode,외부의뢰,200000,2
세포검사FNA(1부위)_KVL,TxCode,외부의뢰,100000,2
세포검사FNA(2부위)_KVL,TxCode,외부의뢰,145455,2
세포검사FNA(3부위)_KVL,TxCode,외부의뢰,181819,2
세포검사FNA(4부위)_KVL,TxCode,외부의뢰,218182,2
골수세포검사_KVL_골수FNAslide,TxCode,외부의뢰,163637,2
림프종PCR(PARR)_KVL,TxCode,외부의뢰,118182,2
뇌척수액검사_KVL_뇌척수액1~2ml,TxCode,외부의뢰,336364,2
유전검사(구리중독)_KVL_EDTA전혈1ml,TxCode,외부의뢰,1045455,2
유전검사(콜리안구기형)_KVL_EDTA전혈1ml,TxCode,외부의뢰,1045455,2
유전검사(진행성망막위축증)_KVL_EDTA전혈1ml,TxCode,외부의뢰,63637,2
유전검사(다낭포성신장질환PKD)_KVL_EDTA전혈1ml,TxCode,외부의뢰,70000,2
유전검사(비대성심근증HCM)_KVL_EDTA전혈1ml,TxCode,외부의뢰,63637,2
유전검사(스코티쉬폴드골이형성증)_KVL_EDTA전혈1ml,TxCode,외부의뢰,63637,2
개설사병원체(6세트)_KVL_분변,TxCode,외부의뢰,136364,2
"개호흡기병원체(4세트)_KVL_인후두,결막swab",TxCode,외부의뢰,145455,2
개신경계병원체_KVL_뇌척수액0.5ml,TxCode,외부의뢰,118182,2
개빈혈병원체_KVL_EDTA전혈1ml,TxCode,외부의뢰,118182,2
개진드기10종_KVL_EDTA전혈1ml,TxCode,외부의뢰,118182,2
톡스플라즈마항원항체_KVL_EDTA전혈1ml,TxCode,외부의뢰,81819,2
"SFTS,Babesia, Anaplasma(PCR)_KVL_EDTA1ml,혈청0.5ml모두",TxCode,외부의뢰,100000,2
"고양이호흡기병원체(4세트)_KVL_인후두, 결막swab",TxCode,외부의뢰,145455,2
고양이설사병원체(6세트)_KVL_분변,TxCode,외부의뢰,136364,2
고양이신경계병원체(12종)_KVL_뇌척수액0.5ml,TxCode,외부의뢰,118182,2
고양이빈혈병원체_KVL_EDTA전혈1ml,TxCode,외부의뢰,136364,2
고양이심장사상충KIT검사_KVL_EDTA전혈1ml,TxCode,외부의뢰,60000,2
고양이진드기10종_KVL_EDTA1ml,TxCode,외부의뢰,80000,2
결석성분분석_IDEXX,TxCode,외부의뢰,100000,2
"갑상샘호르몬(T4,Total)_IDEXX_혈청1ml",TxCode,외부의뢰,50000,2
갑상샘호르몬(FreeT4)_IDEXX_혈청1ml,TxCode,외부의뢰,60000,2
"갑상샘호르몬(TSH, Endogenous)_IDEXX_혈청1ml",TxCode,외부의뢰,50000,2
"갑상샘패널2(fT4,tT4)_IDEXX_개_혈청1ml",TxCode,외부의뢰,100000,2
"갑상샘패널3(cTSH,tT4)_IDEXX_개_혈청1ml",TxCode,외부의뢰,90910,2
"갑상샘패널4(cTSH,fT4,tT4)_IDEXX_개_혈청1ml",TxCode,외부의뢰,140910,2
트로포닌 I(Troponin I)_IDEXX_혈청1ml,TxCode,외부의뢰,100000,2
"갑상샘스크리닝(cTSH,fT4,tT4,TgAA)_IDEXX_혈청3ml",TxCode,외부의뢰,200000,2
트립신유사면역반응성검사(TLI)_IDEXX_개_혈청1ml절식,TxCode,외부의뢰,80000,2
"엽산(Folic acid,VitB12)_IDEXX_혈청1ml절식",TxCode,외부의뢰,90910,2
트립신유사면역반응성검사(TLI)_IDEXX_고양이_혈청1ml절식,TxCode,외부의뢰,245455,2
"위장관패널(Cobalamine, Folate, TLI, fPL)_IDEXX_개_혈청2ml절식",TxCode,외부의뢰,200000,2
"위장관패널2(Cobalamine, Folate, fPL)_IDEXX_고양이_혈청1ml절식",TxCode,외부의뢰,163637,2
"위장관패널3(Cobalamine, Folate, TLI, fPL)_IDEXX_고양이_혈청2ml절식",TxCode,외부의뢰,400000,2
개호흡기질환(CRD)_IDEXX_qPCR_인두결막swab,TxCode,외부의뢰,140910,2
개설사_IDEXX_qPCR_분변,TxCode,외부의뢰,154546,2
"개빈혈,4Dx_IDEXX_qPCR",TxCode,외부의뢰,145455,2
"개진드기,매개체_IDEXX_qPCR",TxCode,외부의뢰,127273,2
"개신경계질환,라임병_IDEXX_qPCR",TxCode,외부의뢰,245455,2
개신경계질환_IDEXX_qPCR,TxCode,외부의뢰,172728,2
고양이상부호흡기질환_IDEXX_qPCR,TxCode,외부의뢰,140910,2
고양이설사_IDEXX_qPCR,TxCode,외부의뢰,154546,2
"고양이빈혈,FeLV, FIV_IDEXX_qPCR",TxCode,외부의뢰,163637,2
고양이빈혈_IDEXX_qPCR,TxCode,외부의뢰,131819,2
"고양이진드기,매개체_IDEXX_qPCR",TxCode,외부의뢰,113637,2
"고양이신경계질환, FeLV, FIV_IDEXX_qPCR_CSF0.5ml, 혈청1ml",TxCode,외부의뢰,163637,2
"고양이신경계질환(bartonella,crypto,fcov,toxo)_IDEXX_qPCR_CSF0.5ml",TxCode,외부의뢰,118182,2
"고양이신경성FeLV, FIV_IDEXX_qPCR_CSF0.5ml",TxCode,외부의뢰,109091,2
고양이전염성복막염(FIP)_IDEXX_qPCR,TxCode,외부의뢰,90910,2
전신진균성질환_IDEXX_qPCR,TxCode,외부의뢰,100000,2
사상균증(Dermatophyte)_IDEXX_qPCR,TxCode,외부의뢰,81819,2
조직검사(1부위)_IDEXX_10%중성포르말린고정,TxCode,외부의뢰,200000,2
조직검사(2부위)_IDEXX_10%중성포르말린고정,TxCode,외부의뢰,263637,2
조직검사(3부위)_IDEXX_10%중성포르말린고정,TxCode,외부의뢰,327273,2
호기성배양(미생물검사)_IDEXX,TxCode,외부의뢰,68182,2
항핵항체(ANA)_IDEXX_혈청1ml,TxCode,외부의뢰,113637,2
개류마티스질환검사_IDEXX_혈청1ml,TxCode,외부의뢰,90910,2
아세틸콜린수용체항체검사(AchR-Ab)_IDEXX_혈청2ml,TxCode,외부의뢰,500000,2
저작근근염항체검사(2MAb)_IDEXX_혈청1ml,TxCode,외부의뢰,500000,2
약물검사(Zonisamide)_IDEXX_혈청1ml,TxCode,외부의뢰,318182,2
약물검사(Digoxin)_IDEXX_혈청1ml,TxCode,외부의뢰,34546,2
알러지검사(표준48종)_IDEXX_혈청1ml,TxCode,외부의뢰,300000,2
"알러지검사(표준,음식물72종)_IDEXX_혈청2ml",TxCode,외부의뢰,454546,2
"알러지검사(표준,음식물,환경 96종)_IDEXX_혈청3ml",TxCode,외부의뢰,590910,2
알러지검사(말라세지아)_IDEXX_추가_혈청0.5ml,TxCode,외부의뢰,31819,2
세포검사FNA(2부위)_IDEXX,TxCode,외부의뢰,163637,2
세포검사FNA(3부위)_IDEXX,TxCode,외부의뢰,200000,2
CSF anaylsis (뇌척수액 분석 종합) + 세균배양,TxCode,외부의뢰,272728,2
CSF anaylsis (뇌척수액 분석 종합 - IDEXX PCR 포함) ,TxCode,외부의뢰,236364,2
세포검사(골수)_IDEXX,TxCode,외부의뢰,227273,2
알러지검사_기본 54종_팝애니랩,TxCode,외부의뢰,172728,2
알러지검사_프리미엄 127종_팝애니랩,TxCode,외부의뢰,336364,2
알러지검사_푸드 지연형 108종_팝애니랩,TxCode,외부의뢰,463637,2
알러지검사_프리미엄 지연형 127종_팝애니랩,TxCode,외부의뢰,563637,2
NT-proBNP_네오딘_혈청0.5ml,TxCode,외부의뢰,50000,2
Troponin-I_네오딘_혈청0.5ml,TxCode,외부의뢰,50000,2
Troponin-T_네오딘_혈청0.5ml,TxCode,외부의뢰,50000,2
TLI_네오딘(국외)_혈청1ml,TxCode,외부의뢰,300000,2
HbA1c_네오딘_전혈EDTA1ml,TxCode,외부의뢰,50000,2
Cobalamine and Folate_네오딘_혈청(차광)1ml,TxCode,외부의뢰,70000,2
Cobalamine_네오딘_혈청(차광)1ml,TxCode,외부의뢰,50000,2
Folate_네오딘_혈청(차광)1ml,TxCode,외부의뢰,50000,2
Canine Coombs Simple_네오딘_전혈EDTA1ml,TxCode,외부의뢰,90910,2
Coombs test(국외)_네오딘_전혈EDTA1ml,TxCode,외부의뢰,336364,2
Babesia PCR 2종_네오딘_전혈EDTA1ml,TxCode,외부의뢰,90910,2
"철결핍성빈혈패널(Iron panel) - Fe, TIBC, saturation %_네오딘_전혈EDTA1ml, 혈청0.5ml, 혈액도말슬라이드(2~3장)",TxCode,외부의뢰,100000,2
Fe(Iron)_네오딘_혈청0.5ml,TxCode,외부의뢰,50000,2
TIBC_네오딘_혈청0.5ml,TxCode,외부의뢰,50000,2
Fe++TIBC+%Saturation_네오딘_혈청1ml,TxCode,외부의뢰,60000,2
Fibrinogen_네오딘_혈장Ctirate0.5ml,TxCode,외부의뢰,50000,2
UCCR_네오딘_뇨3ml냉장,TxCode,외부의뢰,60000,2
내인성 ACTH (eACTH)_네오딘_혈장EDTA1ml,TxCode,외부의뢰,60000,2
17α-Hydroxyprogesterone (17-OHP) (Pre)_네오딘_혈청 각1ml,TxCode,외부의뢰,100000,2
17α-Hydroxyprogesterone (17-OHP) (Pre)_네오딘_혈청1ml,TxCode,외부의뢰,60000,2
Aldosterone (Pre)_네오딘_혈청1ml,TxCode,외부의뢰,254546,2
Aldosterone (Post)_네오딘_혈청1ml,TxCode,외부의뢰,254546,2
"Aldosterone SET(Pre,Post)_네오딘_혈청각1ml",TxCode,외부의뢰,300000,2
Metanephrines 2분획(Plasma)_네오딘_혈장(EDTA)1ml,TxCode,외부의뢰,300000,2
Metanephrines 2분획(Random urine)_네오딘_뇨10ml,TxCode,외부의뢰,200000,2
"갑상선SET1(T4,FT4)_네오딘_혈청1ml",TxCode,외부의뢰,80000,2
"갑상선SET2(T4,TSH)_네오딘_혈청1ml",TxCode,외부의뢰,80000,2
"갑상선SET4(FT4,TSH)_네오딘_혈청1ml",TxCode,외부의뢰,80000,2
"갑상선SET3(T4,FT4,TSH)_네오딘_혈청1ml",TxCode,외부의뢰,118182,2
TSH_네오딘_혈청0.5ml,TxCode,외부의뢰,80000,2
부갑상선SET(국외)(VDI kit)_네오딘_혈청(전용키트)1ml_혈청(별도)0.5ml,TxCode,외부의뢰,272728,2
PTH(국외)(VDI kit)_네오딘_혈청(전용키트)1ml,TxCode,외부의뢰,200000,2
Insulin (with glucose)(국외)_네오딘_혈청1ml,TxCode,외부의뢰,300000,2
Progesterone_네오딘_혈청0.5ml,TxCode,외부의뢰,50000,2
IGF-1(국외)_네오딘_혈청1ml,TxCode,외부의뢰,400000,2
Estradiol(E2)_네오딘_혈청0.5ml,TxCode,외부의뢰,50000,2
ADH(Vasopressin)_네오딘_EDTAplasma1ml,TxCode,외부의뢰,60000,2
ANA test(국외)_네오딘_혈청1ml,TxCode,외부의뢰,245455,2
AchR Antibody(국외)_네오딘_혈청1ml,TxCode,외부의뢰,500000,2
RA factor test(국외)_네오딘_혈청1ml,TxCode,외부의뢰,245455,2
"관절SET(+CBC)_네오딘_전혈EDTA1ml, 혈청1ml",TxCode,외부의뢰,263637,2
