displayName,__typename,VaccineCodePrice.appearancePrice,VaccineCodePrice.taxAddRule
AA1.DHPP,VaccineCode,25000,3
AB1.코로나장염,VaccineCode,15000,3
AB2.켄넬코프,VaccineCode,15000,3
AD1.광견병(수입),VaccineCode,20000,3
BB1.하트가드 Blue,VaccineCode,10000,3
BC1.프론트라인 10kg 이하,VaccineCode,16000,3
"BN3.넥스가드 스펙트라 3.5~7.5kg, ea",VaccineCode,22000,3
AA1.고양이 종합백신 (4종),VaccineCode,40000,3
"BN1.넥스가드 스펙트라 2~3.5kg,ea",VaccineCode,20000,3
BB2.하트가드 Green,VaccineCode,14000,3
BB3.하트가드 Brown,VaccineCode,17000,3
"BN5.넥스가드 스펙트라 7.5~15kg,ea",VaccineCode,25000,3
"BN7.넥스가드 스펙트라 15~30kg,ea",VaccineCode,31000,3
BC2.프론트라인 10-20kg,VaccineCode,22000,3
BC3.프론트라인 20-40kg,VaccineCode,25000,3
AD2.광견병(관납),VaccineCode,5000,3
"BN9.넥스가드 스펙트라 30-60kg,ea",VaccineCode,41000,3
BE1.애드보킷 4kg이하,VaccineCode,16500,3
BE2.애드보킷 4~10kg,VaccineCode,18500,3
BE3.애드보킷 10~25kg,VaccineCode,25000,3
BE4.애드보킷 25kg이상,VaccineCode,35000,3
BE1.애드보킷-CAT 4kg이하,VaccineCode,16500,3
BE3.애드보킷-CAT 4~8kg,VaccineCode,18500,3
BG1.구충제 5kg이하,VaccineCode,4000,3
AA1.페럿-디스템퍼,VaccineCode,22000,3
BE2.[Pack]애드보킷-CAT 4kg이하,VaccineCode,90000,3
BE4.[Pack]애드보킷-CAT 4-8kg,VaccineCode,51000,3
AC2.신종인플루엔자,VaccineCode,35000,3
"BN4.넥스가드 스펙트라 3.5~7.5kg,pack",VaccineCode,63000,3
"BN2.넥스가드 스펙트라 2~3.5kg, pack",VaccineCode,57000,3
BB1.하트가드 Blue 팩,VaccineCode,51000,3
BB2.하트가드 Green 팩,VaccineCode,75000,3
BC1.프론트라인 10kg 이하 팩,VaccineCode,44000,3
BC2.프론트라인 10-20kg 팩,VaccineCode,62000,3
BC3.프론트라인 20-40kg 팩,VaccineCode,71000,3
"BN6.넥스가드 스펙트라 7.5~15kg,pack",VaccineCode,72000,3
BE1.애드보킷 4kg이하 pack,VaccineCode,90000,3
BE2.애드보킷 4 -10kg pack,VaccineCode,102000,3
BE3.애드보킷 10~25kg 팩,VaccineCode,69000,3
"BN10.넥스가드 스펙트라 30~60kg,pack",VaccineCode,120000,3
"BN8.넥스가드 스펙트라 15~30kg,pack",VaccineCode,90000,3
BB3.하트가드 Brown 팩,VaccineCode,93000,3
BG2.구충제 5kg이상,VaccineCode,5000,3
셀렉션60 (~2.5kg),VaccineCode,12000,3
셀렉션60 (2.5~7.5kg),VaccineCode,14000,1
셀렉션120 (2.5~5kg),VaccineCode,13000,1
셀렉션120 (5~10kg),VaccineCode,15000,1
DP.드론탈플러스,VaccineCode,6600,1
프론트라인 트리액트(2-5),VaccineCode,17000,3
프론트라인 트리액트(5-10),VaccineCode,18000,3
